overome	N/A: Please update manually
courage	『勇気』，度胸
awful	（光景・事故などが）『恐ろしい』，すさまじい	《話》（行為が）『ひどい』，見苦しい	《話》（程度が）大きい，すごい（ｇｒｅａｔ）	《俗》ひどく，すごく（ｖｅｒｙ，ｅｘｔｒｅｍｅｌｙ）
steam	『蒸気』，湯気，水蒸気	蒸気の力	《話》力，精，力，元気	…‘を’蒸気にさらす，蒸す	『［水］蒸気を出す』，湯気をたてる《＋『ａｗａｙ』》	《副詞［句］を伴って》蒸気で動く	《話》怒る，いきまく
mature	『成熟した』，十分に成長した，熟成した	おとなを思わせる，円熟した	熟慮した，吟味した	（請求書・手形などが）支払い期日が来た	成熟する；〈果実・ワインなどが〉熟す	〈手形などが〉支払い期日が来る	…‘を’償させる；…‘を’円熟させる
firm	（物が）『堅い』，堅固な，引き締まった	『しっかり固定した』，ぐらつかない	（人・信念・友情などが）変わらない	断固とした，決然たる	（価格・価値が）安定している	しっかりと	…‘を’固める，堅くする《＋『ｕｐ』＋『名，』＋『名』＋『ｕｐ』》	…‘を’安定させる	安定する《＋『ｕｐ』》
solid	『固体の』，『固形の』	『うつろでない』，中身のつまった	（物質の）密度が高い，密な；（印刷の）行の詰まった	《名詞の前にのみ用いて》『混じりもののない』，純正の	（構造的に）『堅固な』	（人が）『信頼できる』，堅実な	健全な，しっかりした	一致した，団結した	（時間が）まるまる，切れ目のない；（物が）連続した	三次元の，立体の，立方の	『固体』，固形物	立方体
credible	信用できる，確実な
carve	…‘を’『刻んで作る』，彫る，彫刻する	（食べやすいように）〈肉〉‘を’切り分ける	肉を切り分ける
hen	〈Ｃ〉『めんどり』	《複合語を作って》（一般に）鳥の雌
Arctic	『北極の』	極寒の（ｆｒｉｇｉｄ）	〈Ｕ〉《ｔｈｅ　Ａ‐》北極（地方）	《複数形で》《米》（くるぶしの上までくる）防水靴
harvest	〈Ｃ〉（穀物・果物などの）『収穫』，取り入れ	〈Ｃ〉『収穫期』，取り入れの時期	〈Ｃ〉収穫物；収穫高（量）	《ａ～，ｔｈｅ～》（仕事などの）結果，報い	〈作物〉‘を’取り入れる，〈畑〉‘の’作物を取り入れる	〈結果など〉‘を’獲得する
wrinkle	（布地・皮膚の）『しわ』	…‘に’『しわを寄せる』	『しわが寄る』
nail	（手の）『つめ』（ｆｉｎｇｅｒｎａｉｌ）；《まれ》（足の）つめ（ｔｏｅ‐ｎａｉｌ）；（鳥獣の）つめ（ｃｌａｗ，ｔａｌｏｎ）	『くぎ』，びょう	（…に）…‘を’くぎ（びょう）で止める《＋『名』＋『ｏｎ』（『ｔｏ』）＋『名』》	（…に）〈人，人の注意・目など〉‘を’くぎ付けにする《＋『名』＋『ｏｎ』（『ｔｏ』）＋名》	《話》…‘を’つかまえる，しとめる；〈うそなど〉‘を’見破る
reasonable	（人が）『理性的な』，分別のある	（物事が）理にかなった，公正の，適の	（価格が）手ごろな
interpret	〈物事〉‘を’『解釈する』，受け取る；…‘の’意味を明らかにする，‘を’説明する	〈外国語で表現されたもの〉‘を’『通訳する』，翻訳する（ｔｒａｎｓｌａｔｅ）	…‘を’自分の解釈に基づいて演じる（演奏する）	『通訳をする』
famine	『ききん』	（物の）ひどい不足，大欠乏
respective	『それぞれの』，各自の
claim	〈人が〉（当然の権利として）…‘を’『要求する』，『請求する』，‘を’自分の物だと主張する；（…から）…‘を’要求する《＋『名』＋『ｆｒｏｍ』＋『名』》	〈人が〉…‘と’『主張する』，断言する	〈物事が〉…‘を’品要とする，‘に’値する	（…に対して…の）権利を主張する《＋ｏｎ（ｆｏｒ）＋名＋ａｇａｉｎｓｔ＋名》	〈Ｃ〉（…に対する）（当然の）『要求』，請求《＋ｆｏｒ（ｔｏ）＋名》	〈Ｃ〉主張，断言，公言	〈Ｕ〉（物事を）要求する権利（資格），請求権《＋『ｔｏ』＋『名』〈物事〉》；（人に）要求する権利《＋『ｏｎ』＋『名』〈人〉》	〈Ｃ〉請求物；（特に入植者に与えられる）一区画の土地；（鉱業権などの設定された）払い下げ精求地
exclaim	（感情が高ぶって）…‘を’『叫ぶ』，大声で言う	（喜び・驚きなどで）『叫ぶ』
keep	〈物〉‘を’『ずっと持っている』，保持する	〈物〉‘を’『保存しておく』，しまっておく，取っておく	〈ある状熊〉‘を’『保ち続ける』，保つ	（ある状態・関係・場所に）〈人・物〉‘を’『保つ』，しておく，とどめておく	〈日記・帳範など〉‘を’つけている	〈約束・規則・慣習など〉‘を’『守る』，‘に’従う，〈約束した時間・定められた祭りなどの日〉‘を’守る	…‘の’『管理する』，世話をする	（…から）…‘を’『守る』，保護する《＋『名』＋『ｆｒｏｍ』＋『名』》	《『ｋｅｅｐ』＋『形』（『過分』）〈補〉》ある状態・動作などを）『保つ』，（…し）続ける，（…の）ままでいる	《副詞［句］を伴って》（ある場所に）『ずっといる』	〈食物などが〉保存がきく，もつ	〈Ｕ〉生活費；食物，糧食；（動物の）飼育費	〈Ｃ〉（中世の城の）本丸，天守閣
weigh	…‘の’『重さを計る』	〈ある重さ〉‘を’『計量する』，計る	（…と比較して）…‘を’『検討する』，考慮する〈＋名　ａｇａｉｎｓｔ＋名〉	『重さがある』，目方がかかる	（…にとって）『重要である』，（‥に）重要糸される〈＋ｗｉｔｈ＋名〉
instrument	（主として精密な）『器具』，器械，計器	（また『ｍｕｓｉｃａｌ　ｉｎｓｔｒｕｍｅｎｔ』）『楽器』）	手段，方便）ｍｅａｎｓ）；（人の）手先	法律文書（証書・遺書・協定書・約束手形など）
distant	（距離が）『遠い』，遠方の	（時間的に）『離れた』，隔たった；遠い［過去の］	《名詞の前にのみ用いて》（関係が）薄い，遠い	（態度などが）よそよそしい	《名詞の前にのみ用いて》遠方からの，遠方への
pour	《副詞［句］を伴って》〈液体〉‘を’『注ぐ』，『つぐ』，流す	（…に）…‘を’『注ぎかける』，溶びせる，〈努力など〉‘を’注ぐ《＋『ｏｕｔ』（ｆｏｒｔｈ』）＋『名，』＋『名』＋ｏｕｔ』（『ｆｏｒｔｈ』）》	《副詞［句］を伴って》〈水・煙などが〉『流れる』；《比喩（ひゆ）的に》〈人・物が〉『流れ出る』	〈雨が〉『激しく降る』《＋『ｄｏｗｎ』》	《話》（レセプションなどで）〈婦人が〉お茶（コーヒーなど）をつぐ，接待役をする	どしゃ降り
hemisphere	（地球の）『半球』	半球体
raise	…‘を’『上げる』，持ち上げる；〈倒れた物〉‘を’起こす	…‘の’量（程度，価値など）『を上げる』	〈地位，名声〉‘を’『高める』；（…の地位などに）…‘を’上げる，高くする《＋『名』＋『ｔｏ』＋『名』》	…‘を’生じさせる	…‘を’集める，調達する	《米》…‘を’育てる，栽培する，飼う	《おもに米》〈子共・家族〉‘を’扶養する，養育する	〈建物・像など〉‘を’建てる	〈気持ち・人など〉‘を’奮い立たせる	〈疑問・異議・要求など〉‘を’提起する，持ち出す	〈禁止・封鎖など〉‘を’解く	〈死者〉‘を’生き返らせる	〈パン〉‘を’ふくらませる	『賃上げ』，『昇給』；昇給額（《英》ｒｉｓｅ）
hostage	人質
bury	〈死体〉‘を’『埋葬する』，土葬する，水葬する	（見えないように）…‘を’『おおい隠す』	…‘を’深く突っ込む	（…に）〈人〉‘を’没頭させる《＋『名』〈人〉＋『ｉｎ』＋『名』》
pray	（神に…を）『祈る』《『ｔｏ』＋『名』〈神〉＋『ｆｏｒ』＋『名』》	《話》（物事を）心から望む《＋『ｆｏｒ』＋『名』》	〈神〉‘に’『祈願する』，祈る	《『ｐｒａｙ』＋『ｔｈａｔ』『節』》…であることを心から望む	《文》…‘を’懇願する，請う	《改まった命令文で》どうか（ｐｌｅａｓｅ）；《疑問文で》ねえ，もし
